logid,timestamp,workorderid_fk,productid_fk,machineid_fk,operatorid_fk,inputquantity,outputgoodquantity,outputdefectquantity,machinestatus,reworkflag,notes
1,2024-11-29 12:58:31,WO-241125180000-864,FPC_ML4_MPI12,LAMINATE01,OP005,157,149,8,RUNNING,False,
2,2024-11-30 09:34:24,WO-241125180000-864,FPC_ML4_MPI12,ETCH01,OP003,149,148,1,RUNNING,False,
3,2024-12-01 05:08:46,WO-241125180000-864,FPC_ML4_MPI12,DRILL_LASER01,OP004,148,136,12,RUNNING,False,
4,2024-12-01 23:14:43,WO-241125180000-864,FPC_ML4_MPI12,AOI_FPC01,OP002,136,127,9,RUNNING,False,
5,2024-12-02 13:48:27,WO-241125180000-864,FPC_ML4_MPI12,TEST_E_FPC01,OP002,127,117,10,RUNNING,False,
6,2024-12-26 01:20:18,WO-241125180000-804,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP004,8796,8757,39,RUNNING,False,
7,2025-01-15 12:51:17,WO-241125180000-804,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP005,8757,8662,95,RUNNING,False,
8,2025-02-02 14:50:43,WO-241125180000-804,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP002,8662,8424,238,RUNNING,False,
9,2025-02-24 12:55:11,WO-241125180000-804,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP001,8424,8251,173,RUNNING,False,
10,2025-03-16 12:43:12,WO-241125180000-804,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP003,8251,7968,283,RUNNING,False,
11,2024-11-30 10:05:42,WO-241126180000-197,FPC_SL_LCP9_HF,LAMINATE01,OP005,450,449,1,RUNNING,False,
12,2024-12-01 03:17:43,WO-241126180000-197,FPC_SL_LCP9_HF,ETCH01,OP002,449,438,11,RUNNING,False,
13,2024-12-01 20:52:30,WO-241126180000-197,FPC_SL_LCP9_HF,AOI_FPC01,OP003,438,431,7,RUNNING,False,
14,2024-12-02 16:42:19,WO-241126180000-197,FPC_SL_LCP9_HF,TEST_E_FPC01,OP002,431,427,4,RUNNING,False,
15,2024-11-30 01:19:10,WO-241126180000-777,FPC_SL_LCP9_HF,LAMINATE01,OP005,201,200,1,RUNNING,False,
16,2024-11-30 09:26:18,WO-241126180000-777,FPC_SL_LCP9_HF,ETCH01,OP004,200,194,6,RUNNING,False,
17,2024-11-30 16:56:58,WO-241126180000-777,FPC_SL_LCP9_HF,AOI_FPC01,OP003,194,185,9,RUNNING,False,
18,2024-12-01 00:11:52,WO-241126180000-777,FPC_SL_LCP9_HF,TEST_E_FPC01,OP004,185,184,1,RUNNING,False,
19,2024-12-01 03:28:59,WO-241125180000-978,FPC_DL_PI35,LAMINATE01,OP001,184,178,6,RUNNING,False,
20,2024-12-01 14:50:56,WO-241125180000-978,FPC_DL_PI35,ETCH01,OP004,178,169,9,RUNNING,False,
21,2024-12-02 00:40:53,WO-241125180000-978,FPC_DL_PI35,DRILL_LASER01,OP003,169,165,4,RUNNING,False,
22,2024-12-02 08:30:16,WO-241125180000-978,FPC_DL_PI35,AOI_FPC01,OP004,165,160,5,RUNNING,False,
23,2024-12-02 17:19:59,WO-241125180000-978,FPC_DL_PI35,TEST_E_FPC01,OP001,160,157,3,RUNNING,False,
24,2024-12-01 04:08:55,WO-241126180000-752,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP005,170,169,1,RUNNING,False,
25,2024-12-01 13:00:59,WO-241126180000-752,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP004,169,168,1,RUNNING,False,
26,2024-12-01 21:41:22,WO-241126180000-752,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP001,168,167,1,RUNNING,False,
27,2024-12-02 04:49:04,WO-241126180000-752,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP003,167,166,1,RUNNING,False,
28,2024-12-13 06:45:39,WO-241127180000-223,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP002,7599,7583,16,RUNNING,False,
29,2024-12-24 19:23:40,WO-241127180000-223,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP004,7583,7567,16,RUNNING,False,
30,2025-01-06 11:04:33,WO-241127180000-223,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP005,7567,7412,155,RUNNING,False,
31,2025-01-17 20:33:01,WO-241127180000-223,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP002,7412,7390,22,RUNNING,False,
32,2024-12-01 18:57:22,WO-241127180000-858,FPC_DL_PI35,LAMINATE01,OP003,395,390,5,RUNNING,False,
33,2024-12-02 15:28:53,WO-241127180000-858,FPC_DL_PI35,ETCH01,OP005,390,388,2,RUNNING,False,
34,2024-12-03 15:08:52,WO-241127180000-858,FPC_DL_PI35,DRILL_LASER01,OP001,388,367,21,RUNNING,False,
35,2024-12-04 12:57:44,WO-241127180000-858,FPC_DL_PI35,AOI_FPC01,OP004,367,354,13,RUNNING,False,
36,2024-12-05 11:15:16,WO-241127180000-858,FPC_DL_PI35,TEST_E_FPC01,OP002,354,347,7,RUNNING,False,
37,2024-12-02 06:42:40,WO-241126180000-924,FPC_SL_PI18,LAMINATE01,OP004,351,346,5,RUNNING,False,
38,2024-12-02 16:48:30,WO-241126180000-924,FPC_SL_PI18,ETCH01,OP005,346,337,9,RUNNING,False,
39,2024-12-03 04:01:48,WO-241126180000-924,FPC_SL_PI18,AOI_FPC01,OP005,337,330,7,RUNNING,False,
40,2024-12-03 15:32:21,WO-241126180000-924,FPC_SL_PI18,TEST_E_FPC01,OP002,330,329,1,RUNNING,False,
41,2024-12-03 05:23:35,WO-241128170000-986,FPC_ML4_MPI12,LAMINATE01,OP002,287,280,7,RUNNING,False,
42,2024-12-04 13:01:58,WO-241128170000-986,FPC_ML4_MPI12,ETCH01,OP005,280,271,9,RUNNING,False,
43,2024-12-05 18:36:35,WO-241128170000-986,FPC_ML4_MPI12,DRILL_LASER01,OP002,271,257,14,RUNNING,False,
44,2024-12-06 21:59:19,WO-241128170000-986,FPC_ML4_MPI12,AOI_FPC01,OP004,257,249,8,RUNNING,False,
45,2024-12-08 01:40:46,WO-241128170000-986,FPC_ML4_MPI12,TEST_E_FPC01,OP005,249,242,7,RUNNING,False,
46,2024-12-02 05:26:07,WO-241128170000-848,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP001,221,217,4,RUNNING,False,
47,2024-12-02 15:12:36,WO-241128170000-848,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP002,217,215,2,RUNNING,False,
48,2024-12-03 01:16:35,WO-241128170000-848,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP005,215,214,1,RUNNING,False,
49,2024-12-03 12:04:24,WO-241128170000-848,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP005,214,213,1,RUNNING,False,
