salesorderid,orderdate,requireddeliverydate,orderstatus,ordertotalamount,customerid,customername,salesorderlineid,productid,productname,producttype,targetyield,standardcycletime_seconds,quantityordered,lineunitprice,linetotalamount,linestatus
SO-20241128143412-429,2024-11-28,2025-01-01,Partially Shipped,3868.55,CUST002,Future Devices Inc.,19,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,221,7.8,1723.8,Partially_Shipped
SO-20241207163159-489,2024-12-07,2025-01-04,Partially Shipped,245110.25,CUST005,Automotive Innovations Ltd.,60,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,9524,25.5,242862.0,Partially_Shipped
SO-20241128143412-429,2024-11-28,2025-01-01,Partially Shipped,3868.55,CUST002,Future Devices Inc.,18,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,373,5.75,2144.75,Partially_Shipped
SO-20241129112628-388,2024-11-29,2025-01-05,Partially Shipped,985.0,CUST002,Future Devices Inc.,22,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,394,2.5,985.0,Partially_Shipped
SO-20241130153420-616,2024-11-30,2024-12-15,Partially Shipped,12110.0,CUST003,AeroSpace Dynamics,24,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,4552,2.5,11380.0,Partially_Shipped
SO-20241204105208-275,2024-12-04,2025-01-02,Partially Shipped,44402.1,CUST002,Future Devices Inc.,41,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,4989,8.9,44402.1,Partially_Shipped
SO-20241201155015-913,2024-12-01,2024-12-15,Partially Shipped,27637.25,CUST001,Global Tech Solutions,29,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,493,5.75,2834.75,Partially_Shipped
SO-20241126114902-243,2024-11-26,2024-12-12,Partially Shipped,30152.85,CUST002,Future Devices Inc.,4,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,99,5.75,569.25,Partially_Shipped
SO-20241130145834-244,2024-11-30,2025-01-12,Partially Shipped,164346.4,CUST002,Future Devices Inc.,25,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,107,15.2,1626.4,Partially_Shipped
SO-20241126114902-243,2024-11-26,2024-12-12,Partially Shipped,30152.85,CUST002,Future Devices Inc.,5,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,3324,8.9,29583.6,Partially_Shipped
SO-20241130145834-244,2024-11-30,2025-01-12,Partially Shipped,164346.4,CUST002,Future Devices Inc.,26,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,3616,45.0,162720.0,Partially_Shipped
SO-20241206122022-574,2024-12-06,2024-12-16,Partially Shipped,357762.4,CUST004,MediEquip Corp.,54,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,320,2.5,800.0,Partially_Shipped
SO-20241125145316-176,2024-11-25,2024-12-17,Partially Shipped,2386.4,CUST004,MediEquip Corp.,1,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,157,15.2,2386.4,Partially_Shipped
SO-20241125150327-823,2024-11-25,2025-01-04,Partially Shipped,225356.0,CUST002,Future Devices Inc.,2,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,8796,25.5,224298.0,Partially_Shipped
SO-20241201155015-913,2024-12-01,2024-12-15,Partially Shipped,27637.25,CUST001,Global Tech Solutions,30,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,4210,5.75,24207.5,Partially_Shipped
SO-20241206122022-574,2024-12-06,2024-12-16,Partially Shipped,357762.4,CUST004,MediEquip Corp.,52,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,7768,45.0,349560.0,Partially_Shipped
SO-20241126112335-814,2024-11-26,2024-12-19,Partially Shipped,6208.5,CUST004,MediEquip Corp.,9,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,450,8.9,4005.0,Partially_Shipped
SO-20241126125829-505,2024-11-26,2024-12-28,Partially Shipped,2343.9,CUST003,AeroSpace Dynamics,12,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,201,8.9,1788.9,Partially_Shipped
SO-20241206122022-574,2024-12-06,2024-12-16,Partially Shipped,357762.4,CUST004,MediEquip Corp.,53,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,487,15.2,7402.4,Partially_Shipped
SO-20241205102031-364,2024-12-05,2024-12-17,Partially Shipped,62776.0,CUST002,Future Devices Inc.,48,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,4130,15.2,62776.0,Partially_Shipped
SO-20241208105202-354,2024-12-08,2024-12-26,Partially Shipped,3284.1,CUST001,Global Tech Solutions,69,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,369,8.9,3284.1,Partially_Shipped
SO-20241125150327-823,2024-11-25,2025-01-04,Partially Shipped,225356.0,CUST002,Future Devices Inc.,3,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,184,5.75,1058.0,Partially_Shipped
SO-20241126112335-814,2024-11-26,2024-12-19,Partially Shipped,6208.5,CUST004,MediEquip Corp.,10,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,170,7.8,1326.0,Partially_Shipped
SO-20241127154349-281,2024-11-27,2024-12-07,Partially Shipped,114426.0,CUST002,Future Devices Inc.,14,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,7599,7.8,59272.2,Partially_Shipped
SO-20241127134455-552,2024-11-27,2024-12-19,Partially Shipped,2271.25,CUST005,Automotive Innovations Ltd.,15,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,395,5.75,2271.25,Partially_Shipped
SO-20241203131021-460,2024-12-03,2024-12-17,Partially Shipped,5832.0,CUST003,AeroSpace Dynamics,35,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,266,5.75,1529.5,Partially_Shipped
SO-20241203131021-460,2024-12-03,2024-12-17,Partially Shipped,5832.0,CUST003,AeroSpace Dynamics,33,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,137,2.5,342.5,Partially_Shipped
SO-20241204104022-298,2024-12-04,2024-12-23,Partially Shipped,21237.5,CUST003,AeroSpace Dynamics,38,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,326,2.5,815.0,Partially_Shipped
SO-20241208095041-824,2024-12-08,2024-12-20,Partially Shipped,81435.25,CUST002,Future Devices Inc.,65,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,7690,7.8,59982.0,Partially_Shipped
SO-20241126112335-814,2024-11-26,2024-12-19,Partially Shipped,6208.5,CUST004,MediEquip Corp.,8,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,351,2.5,877.5,Partially_Shipped
SO-20241128130218-312,2024-11-28,2024-12-11,Partially Shipped,9576.0,CUST002,Future Devices Inc.,16,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,287,15.2,4362.4,Partially_Shipped
SO-20241207163159-489,2024-12-07,2025-01-04,Partially Shipped,245110.25,CUST005,Automotive Innovations Ltd.,59,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,391,5.75,2248.25,Partially_Shipped
SO-20241204125509-167,2024-12-04,2025-01-08,Partially Shipped,132482.45,CUST001,Global Tech Solutions,44,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,423,5.75,2432.25,Partially_Shipped
SO-20241203131021-460,2024-12-03,2024-12-17,Partially Shipped,5832.0,CUST003,AeroSpace Dynamics,34,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,88,45.0,3960.0,Partially_Shipped
SO-20241208145802-850,2024-12-08,2025-01-19,Partially Shipped,15475.8,CUST002,Future Devices Inc.,68,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,236,7.8,1840.8,Partially_Shipped
